Date,Ticker,Shares Bought,Buy Price,Cost Basis,PnL,Reason,Shares Sold,Sell Price
2025-09-12,FBIO,11.0,3.81,41.91,0.0,MANUAL BUY MOO - Filled,,
2025-09-12,KALA,1.0,17.0,17.0,0.0,MANUAL BUY MOO - Filled,,
2025-09-12,KAPA,12.0,1.8,21.6,0.0,MANUAL BUY MOO - Filled,,
2025-09-12,WWR,28.0,0.7,19.6,0.0,MANUAL BUY MOO - Filled,,
2025-09-19,KAPA,,,21.6,-6.120000000000001,MANUAL SELL LIMIT - ,12.0,1.29
2025-09-22,BTAI,5.0,2.89,14.45,0.0,MANUAL BUY MOO - Filled,,
2025-09-29,BTAI,,,8.67,-0.3599999999999994,MANUAL SELL LIMIT - ,3.0,2.77
2025-09-29,IOBT,10.0,0.3580000102519989,3.580000102519989,0.0,MANUAL BUY LIMIT - Filled,,
2025-09-29,FBIO,,,38.1,1.8999999999999984,MANUAL SELL LIMIT - ,10.0,4.0
2025-09-29,WWR,,,19.6,9.800000000000004,MANUAL SELL LIMIT - ,28.0,1.05
2025-09-29,KALA,,,17.0,-15.52999997138977,MANUAL SELL LIMIT - ,1.0,1.4700000286102295
2025-09-29,KAPA,15.0,1.1399999856948853,17.09999978542328,0.0,MANUAL BUY LIMIT - Filled,,
2025-10-02,FBIO,,,3.81,-1.23,MANUAL SELL LIMIT - ,1.0,2.58
2025-10-02,IOBT,,,3.580000102519989,0.2199998974800108,MANUAL SELL LIMIT - ,10.0,0.38
